barcode	current_name	proposed_name	source	brand	chains	candidates
7290001842973	בשר ראש   טלה  מפורק מחפוד קפוא	בשר ראש   טלה  מפורק מחפוד קפוא	trusted		1	HET_COHEN_NEW_SOURCE: בשר ראש   טלה  מפורק מחפוד קפוא
7290001847447	מארז 100 יח' שקיות קופה	מארז 100 יח' שקיות קופה	trusted	לא ידוע	1	"שוק העיר (ט.ע.מ.ס.) בע""מ: מארז 100 יח' שקיות קופה"
7290001849095	שיפודי חזה אווז מצונן	שיפודי חזה אווז מצונן	trusted		1	HET_COHEN_NEW_SOURCE: שיפודי חזה אווז מצונן
7290001849101	"נקנקיות מרגז כבד בד""ץ"	"נקנקיות מרגז כבד בד""ץ"	trusted		1	"HET_COHEN_NEW_SOURCE: נקנקיות מרגז כבד בד""ץ"
7290001849118	נקניקיות פרגיות   קורקבדוס	נקניקיות פרגיות   קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: נקניקיות פרגיות   קורקבדוס
7290001849347	מיני מרגז  טלה   קורקבדוס	מיני מרגז  טלה   קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: מיני מרגז  טלה   קורקבדוס
7290001849354	נקניקיות  מרגז חריפות	נקניקיות  מרגז חריפות	trusted		1	HET_COHEN_NEW_SOURCE: נקניקיות  מרגז חריפות
7290001849361	נקניקיות מרגז טלה-קורקבדוס	נקניקיות מרגז טלה-קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: נקניקיות מרגז טלה-קורקבדוס
7290001849392	קבב הבית חלק  קורקבדוס	קבב הבית חלק  קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: קבב הבית חלק  קורקבדוס
7290001849682	טחולית  עגל קפוא  קורקבדוס	טחולית  עגל קפוא  קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: טחולית  עגל קפוא  קורקבדוס
7290001849712	נקנקיות טחול   קורקבדוס	נקנקיות טחול   קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: נקנקיות טחול   קורקבדוס
7290001849743	המבורגר טלה   קורקבדוס	המבורגר טלה   קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: המבורגר טלה   קורקבדוס
7290001849774	המבורגר אנטריקוט  קורקבדוס	המבורגר אנטריקוט  קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: המבורגר אנטריקוט  קורקבדוס
7290001849798	מיני  מרגז חריף  קורקבדוס	מיני  מרגז חריף  קורקבדוס	trusted		1	HET_COHEN_NEW_SOURCE: מיני  מרגז חריף  קורקבדוס
7290001855065	שמן סויה	שמן סויה	trusted		1	CITY_MARKET_SHOPS: שמן סויה
7290001855201	שמן 5 קילו	שמן 5 קילו	trusted		1	CITY_MARKET_SHOPS: שמן 5 קילו
7290001855225	שמן חמניות	שמן חמניות	trusted		1	CITY_MARKET_SHOPS: שמן חמניות
7290001855942	שמן חמניות	שמן חמניות	trusted		1	CITY_MARKET_SHOPS: שמן חמניות
7290001865460	אל סבון משאבה בריח ק	אל סבון משאבה בריח ק	trusted	אינטרקוסמא	1	מ. יוחננוף ובניו: אל סבון משאבה בריח ק
7290001866054	גבינת רכה	גבינת רכה	trusted		1	CITY_MARKET_SHOPS: גבינת רכה
7290001867457	תפוא אדום פרמיום ארוז	תפוא אדום פרמיום ארוז	trusted		1	CITY_MARKET_SHOPS: תפוא אדום פרמיום ארוז
7290001867464	בייבי תפוח אדמה	בייבי תפוח אדמה	trusted		1	CITY_MARKET_SHOPS: בייבי תפוח אדמה
7290001872499	גביע אמריקאי	גביע אמריקאי	trusted		1	CITY_MARKET_SHOPS: גביע אמריקאי
7290001873014	אנטריקוט טרי מוכשר	אנטריקוט טרי מוכשר	trusted	JBS	1	שופרסל: אנטריקוט טרי מוכשר
7290001873021	צלעות טרי מוכשר ברזיל	צלעות טרי מוכשר ברזיל	trusted	אנסטסיו	1	שופרסל: צלעות טרי מוכשר ברזיל
7290001873038	חזה טרי מוכשר ברזיל קג	חזה טרי מוכשר ברזיל קג	trusted	אנסטסיו	1	שופרסל: חזה טרי מוכשר ברזיל קג
7290001873045	כתף טרי מוכשר ברזיל	כתף טרי מוכשר ברזיל	trusted	אנסטסיו	1	שופרסל: כתף טרי מוכשר ברזיל
7290001873052	צלי כתף טרי מוכשר	צלי כתף טרי מוכשר	trusted	JBS	1	שופרסל: צלי כתף טרי מוכשר
7290001873069	פ.מדומה טרי מוכשר ברזיל	פ.מדומה טרי מוכשר ברזיל	trusted	אנסטסיו	1	שופרסל: פ.מדומה טרי מוכשר ברזיל
7290001873083	קשתית טרי מוכשר ברזיל קג	קשתית טרי מוכשר ברזיל קג	trusted	אנסטסיו	1	שופרסל: קשתית טרי מוכשר ברזיל קג
7290001873106	סינטה טרי מוכשר	סינטה טרי מוכשר	trusted	JBS	1	שופרסל: סינטה טרי מוכשר
7290001873120	מ.הסטייק טרי מוכשר ברזיל	מ.הסטייק טרי מוכשר ברזיל	trusted	אנסטסיו	1	שופרסל: מ.הסטייק טרי מוכשר ברזיל
7290001873168	צלעות טרי חלק ברזיל קג	צלעות טרי חלק ברזיל קג	trusted	אנסטסיו	1	שופרסל: צלעות טרי חלק ברזיל קג
7290001873175	חזה טרי חלק ברזיל קג	חזה טרי חלק ברזיל קג	trusted	אנסטסיו	1	שופרסל: חזה טרי חלק ברזיל קג
7290001873205	פילה מדומה טרי חלק ברזי	פילה מדומה טרי חלק ברזי	trusted	אנסטסיו	1	שופרסל: פילה מדומה טרי חלק ברזי
7290001873229	קשתית טרי חלק ברזיל	קשתית טרי חלק ברזיל	trusted	אנסטסיו	1	שופרסל: קשתית טרי חלק ברזיל
7290001873427	בשר טחון טרי חלק קג	בשר טחון טרי חלק קג	trusted	נטו	1	שופרסל: בשר טחון טרי חלק קג
7290001873441	המבורגר	המבורגר	trusted		1	CITY_MARKET_SHOPS: המבורגר
7290001873458	מארז זוג סטייקבורגר	מארז זוג סטייקבורגר	trusted		1	CITY_MARKET_SHOPS: מארז זוג סטייקבורגר
7290001873472	קבב אנגלי	קבב אנגלי	trusted		1	CITY_MARKET_SHOPS: קבב אנגלי
7290001873779	גבינה גאודה	גבינה גאודה	trusted		1	CITY_MARKET_SHOPS: גבינה גאודה
7290001875308	חזה עוף טרי פרימיום קג	חזה עוף טרי פרימיום קג	trusted	עוף עוז	1	שופרסל: חזה עוף טרי פרימיום קג
7290001875315	שניצל דק טרי פרימיום קג	שניצל דק טרי פרימיום קג	trusted	עוף עוז	1	שופרסל: שניצל דק טרי פרימיום קג
7290001875322	פילה עוף טרי פרימיום קג	פילה עוף טרי פרימיום קג	trusted	עוף עוז	1	שופרסל: פילה עוף טרי פרימיום קג
7290001875339	כנפיים עוף טרי פרימיום ק	כנפיים עוף טרי פרימיום ק	trusted	עוף עוז	1	שופרסל: כנפיים עוף טרי פרימיום ק
7290001875346	כרעיים עוף טרי פרימיום ק	כרעיים עוף טרי פרימיום ק	trusted	עוף עוז	1	שופרסל: כרעיים עוף טרי פרימיום ק
7290001875353	שוקיים עוף טרי פרימיום ק	שוקיים עוף טרי פרימיום ק	trusted	עוף עוז	1	שופרסל: שוקיים עוף טרי פרימיום ק
7290001875377	פרגיות עוף טרי פרימיום ק	פרגיות עוף טרי פרימיום ק	trusted	עוף עוז	1	שופרסל: פרגיות עוף טרי פרימיום ק
7290001879085	עוף שלם טרי תפזורת	עוף שלם טרי תפזורת	trusted	מילועוף	1	שופרסל: עוף שלם טרי תפזורת
7290001879184	פרגיות עוף טרי ארוז	פרגיות עוף טרי ארוז	trusted	מילועוף	1	שופרסל: פרגיות עוף טרי ארוז
72900018795927	צנונית ארוזה	צנונית ארוזה	trusted		1	CITY_MARKET_SHOPS: צנונית ארוזה
7290001879627	פילה עוף טרי ארוז	פילה עוף טרי ארוז	trusted	מילועוף	1	שופרסל: פילה עוף טרי ארוז
7290001879726	שוק מפורק נקבה תפזורת קג	שוק מפורק נקבה תפזורת קג	trusted	מילועוף	1	שופרסל: שוק מפורק נקבה תפזורת קג
7290001879771	פילה עוף קפוא	פילה עוף קפוא	trusted		1	CITY_MARKET_SHOPS: פילה עוף קפוא
7290001881026	עגבניה מאמא מרי	עגבניה מאמא מרי	trusted		1	חצי חינם: עגבניה מאמא מרי
7290001886120	קשתית אסדו טרי עטרה	קשתית אסדו טרי עטרה	trusted	יצרנים שונים	1	שופרסל: קשתית אסדו טרי עטרה
7290001886335	צלי כתף טרי שקיל	צלי כתף טרי שקיל	trusted	כללי	1	שופרסל: צלי כתף טרי שקיל
7290001886359	שריר הזרוע טרי שקיל	שריר הזרוע טרי שקיל	trusted	כללי	1	שופרסל: שריר הזרוע טרי שקיל
7290001886380	שריר הזרוע טרי שקיל	שריר הזרוע טרי שקיל	trusted	כללי	1	שופרסל: שריר הזרוע טרי שקיל
7290001886854	"אוסובוקו ע""ח טרי חלק קג"	"אוסובוקו ע""ח טרי חלק קג"	trusted	כללי	1	"שופרסל: אוסובוקו ע""ח טרי חלק קג"
7290001889749	מגבונים לחים	מגבונים לחים	trusted		1	CITY_MARKET_SHOPS: מגבונים לחים
7290001892053	לחם	לחם	trusted		1	CITY_MARKET_SHOPS: לחם
7290001893012	דג סלמון נתחים ואקום מאסטר פוד	דג סלמון נתחים ואקום מאסטר פוד	trusted		1	HET_COHEN_NEW_SOURCE: דג סלמון נתחים ואקום מאסטר פוד
7290001894835	כירה חשמלית יחיד	כירה חשמלית יחיד	trusted	לא ידוע	1	"אבות אברהם בע""מ: כירה חשמלית יחיד"
7290001894842	כיריים דגם 104	כיריים דגם 104	trusted	לא ידוע	1	"אבות אברהם בע""מ: כיריים דגם 104"
7290001895894	פלטה שבת 4 סירים ענקית	פלטה שבת 4 סירים ענקית	trusted	לא ידוע	1	"אבות אברהם בע""מ: פלטה שבת 4 סירים ענקית"
7290001895900	מיחם נירוסטה 30 כוסות	מיחם נירוסטה 30 כוסות	trusted	לא ידוע	1	"אבות אברהם בע""מ: מיחם נירוסטה 30 כוסות"
7290001895917	מיחם 40	מיחם 40	trusted	לא ידוע	1	"אבות אברהם בע""מ: מיחם 40"
7290001896235	כבד עוף קפוא ארוז במ	כבד עוף קפוא ארוז במ	trusted	לא ידוע	1	מ. יוחננוף ובניו: כבד עוף קפוא ארוז במ
7290001897041	גרעיני חמניה במלח 500 ג	גרעיני חמניה במלח 500 ג	trusted		1	מחסני השוק: גרעיני חמניה במלח 500 ג
7290001897591	שומשום לבן 100גר	שומשום לבן 100גר	trusted		1	מחסני השוק: שומשום לבן 100גר
7290001900130	"פילה סלמון מנות קפוא עם עור ""תוצרת הים"""	"פילה סלמון מנות קפוא עם עור ""תוצרת הים"""	trusted		1	"חצי חינם: פילה סלמון מנות קפוא עם עור ""תוצרת הים"""
7290001900154	"פילה סלמון  נורבגי עם עור ""תוצרת הים"""	"פילה סלמון  נורבגי עם עור ""תוצרת הים"""	trusted		1	"חצי חינם: פילה סלמון  נורבגי עם עור ""תוצרת הים"""
7290001901199	גפילטע פיש 12 יחידות	גפילטע פיש 12 יחידות	trusted		1	שופרסל: גפילטע פיש 12 יחידות
7290001901397	געפילטע פיש 30יח ירושלמי*	געפילטע פיש 30יח ירושלמי*	trusted		1	HET_COHEN_NEW_SOURCE: געפילטע פיש 30יח ירושלמי*
7290001901687	פח 30 קציצות 30 יחידות	פח 30 קציצות 30 יחידות	trusted	כללי	1	שופרסל: פח 30 קציצות 30 יחידות
7290001902004	פיתה אסלית אפוי קפוא100ג	פיתה אסלית אפוי קפוא100ג	trusted	מאפיית שלמה א. אנגל	1	שופרסל: פיתה אסלית אפוי קפוא100ג
72900019056164	שוופס סודה ליטר	שוופס סודה ליטר	trusted		1	CITY_MARKET_SHOPS: שוופס סודה ליטר
7290001906040	כנפיים הודו קפוא במשקל	כנפיים הודו קפוא במשקל	trusted	---	1	שופרסל: כנפיים הודו קפוא במשקל
7290001906071	גרונות הודו קפוא במשקל	גרונות הודו קפוא במשקל	trusted	---	1	שופרסל: גרונות הודו קפוא במשקל
7290001909003	רחת לוקום	רחת לוקום	trusted		1	CITY_MARKET_SHOPS: רחת לוקום
7290001909188	בקלאווה במגש	בקלאווה במגש	trusted		1	CITY_MARKET_SHOPS: בקלאווה במגש
7290001915004	שווארמה דונרלהקפצה	שווארמה דונרלהקפצה	trusted		1	CITY_MARKET_SHOPS: שווארמה דונרלהקפצה
7290001915011	שווארמה פרגית מתובל	שווארמה פרגית מתובל	trusted		1	CITY_MARKET_SHOPS: שווארמה פרגית מתובל
7290001915110	שניצל עוף	שניצל עוף	trusted		1	CITY_MARKET_SHOPS: שניצל עוף
7290001915257	כבד עוף	כבד עוף	trusted		1	CITY_MARKET_SHOPS: כבד עוף
7290001918227	פילה סלמון קפוא פרימיום	פילה סלמון קפוא פרימיום	trusted	---	1	שופרסל: פילה סלמון קפוא פרימיום
7290001918302	צלעות מס 2 טרי בעדני	צלעות מס 2 טרי בעדני	trusted	SAN ANTONIO	1	שופרסל: צלעות מס 2 טרי בעדני
7290001918326	כתף מס 4 טרי בעדני	כתף מס 4 טרי בעדני	trusted	SAN ANTONIO	1	שופרסל: כתף מס 4 טרי בעדני
7290001918333	צלי כתף מס 5 טרי בעדני	צלי כתף מס 5 טרי בעדני	trusted	SAN ANTONIO	1	שופרסל: צלי כתף מס 5 טרי בעדני
7290001918371	שריר מוזה 88 טרי בעדני	שריר מוזה 88 טרי בעדני	trusted	SAN ANTONIO	1	שופרסל: שריר מוזה 88 טרי בעדני
7290001918388	אסאדו טרי בעדני	אסאדו טרי בעדני	trusted	SAN ANTONIO	1	שופרסל: אסאדו טרי בעדני
7290001918401	סינטה בקר טרי בעדני	סינטה בקר טרי בעדני	trusted	סן אנטוניו	1	שופרסל: סינטה בקר טרי בעדני
7290001918456	שיטל אנגוס  טרי מוכשר	שיטל אנגוס  טרי מוכשר	trusted	ויקטוריה	1	שופרסל: שיטל אנגוס  טרי מוכשר
7290001918555	כתף מס 4	כתף מס 4	trusted	בלאדי	1	שופרסל: כתף מס 4
7290001918869	פיקניה טרי חלק	פיקניה טרי חלק	trusted	ויקטוריה	1	שופרסל: פיקניה טרי חלק
7290001918920	שריר מס8 מוכשר קפוא	שריר מס8 מוכשר קפוא	trusted	ויקטוריה	1	שופרסל: שריר מס8 מוכשר קפוא
7290001918944	"סלמון קוהו פילה כשל""פ"	"סלמון קוהו פילה כשל""פ"	trusted	כללי	1	"שופרסל: סלמון קוהו פילה כשל""פ"
7290001919026	פילה סלמון נורווגי לפי ש	פילה סלמון נורווגי לפי ש	trusted	כללי	1	שופרסל: פילה סלמון נורווגי לפי ש
7290001920206	מרינה טונה עם תירס 150 ג'	מרינה טונה עם תירס 150 ג'	trusted	לא ידוע	1	"אלמשהדאוי קינג סטור בע""מ: מרינה טונה עם תירס 150 ג'"
72900019216935	גלידה קראנץ	גלידה קראנץ	trusted		1	CITY_MARKET_SHOPS: גלידה קראנץ
7290001923382	גבינת לבנה טבורוג	גבינת לבנה טבורוג	trusted	לא ידוע	1	"אבות אברהם בע""מ: גבינת לבנה טבורוג"
7290001929780	מיקס לילד 200 גרם	מיקס לילד 200 גרם	trusted		1	מחסני השוק: מיקס לילד 200 גרם
7290001934579	פילה אמנון ללא עור לנדאו	פילה אמנון ללא עור לנדאו	trusted	SNOWMAN	1	שופרסל: פילה אמנון ללא עור לנדאו
7290001934609	נילוס פרוס - לנדא מחיר ל	נילוס פרוס - לנדא מחיר ל	trusted	SNOWMAN	1	שופרסל: נילוס פרוס - לנדא מחיר ל
7290001934678	פילה דג פורל - לנדא מחיר	פילה דג פורל - לנדא מחיר	trusted	SNOWMAN	1	שופרסל: פילה דג פורל - לנדא מחיר
7290001934685	פורל פרוס עם עור -לנדא מ	פורל פרוס עם עור -לנדא מ	trusted	SNOWMAN	1	שופרסל: פורל פרוס עם עור -לנדא מ
7290001934715	נסיכת הנילוס פרוס לל	נסיכת הנילוס פרוס לל	trusted	לא ידוע	1	מ. יוחננוף ובניו: נסיכת הנילוס פרוס לל
7290001934791	טונה צהובת סנפיר ימה	טונה צהובת סנפיר ימה	trusted	לא ידוע	1	מ. יוחננוף ובניו: טונה צהובת סנפיר ימה
7290001942147	ETHYL CHLORIDE 100 ML BOTL	ETHYL CHLORIDE 100 ML BOTL	trusted	לא ידוע	1	"גוד פארם בע""מ: ETHYL CHLORIDE 100 ML BOTL"
7290001943151	תריאומגה אקסטרה EPA	תריאומגה אקסטרה EPA	trusted	פלוריש	1	סופר פארם ישראל: תריאומגה אקסטרה EPA
7290001943595	תרימוורה בי פוזיטיב 30 קפליות	תרימוורה בי פוזיטיב 30 קפליות	trusted	פלוריש	1	סופר פארם ישראל: תרימוורה בי פוזיטיב 30 קפליות
7290001943823	תרימוורה פרוקטו כורכומין קרם טיפולי 100	תרימוורה פרוקטו כורכומין קרם טיפולי 100	trusted	פלוריש	1	סופר פארם ישראל: תרימוורה פרוקטו כורכומין קרם טיפולי 100
7290001946169	פפריקה חריפה	פפריקה חריפה	trusted		1	חצי חינם: פפריקה חריפה
7290001946404	שום כתוש	שום כתוש	trusted		1	CITY_MARKET_SHOPS: שום כתוש
7290001952078	חזה בקר 33 קפוא	חזה בקר 33 קפוא	trusted	כללי	1	שופרסל: חזה בקר 33 קפוא
7290001953822	נתח קצבים עגל טרי	נתח קצבים עגל טרי	trusted	לא ידוע	1	טיב טעם: נתח קצבים עגל טרי
7290001954072	גוש טונה אדומה 85% דג קפוא עת-רן	גוש טונה אדומה 85% דג קפוא עת-רן	trusted	לא ידוע	1	"שוק העיר (ט.ע.מ.ס.) בע""מ: גוש טונה אדומה 85% דג קפוא עת-רן"
7290001970003	פפריקה מתוקה בשמן במשקל	פפריקה מתוקה בשמן במשקל	trusted	כללי	1	שופרסל: פפריקה מתוקה בשמן במשקל
7290001970010	פלפל שחור שלם במשקל	פלפל שחור שלם במשקל	trusted	כללי	1	שופרסל: פלפל שחור שלם במשקל
7290001970027	פלפל שחור טחון במשקל	פלפל שחור טחון במשקל	trusted	כללי	1	שופרסל: פלפל שחור טחון במשקל
7290001970034	שום גבישי במשקל	שום גבישי במשקל	trusted	כללי	1	שופרסל: שום גבישי במשקל
7290001970058	שבבי בצל במשקל	שבבי בצל במשקל	trusted	כללי	1	שופרסל: שבבי בצל במשקל
7290001970072	כמון במשקל	כמון במשקל	trusted	כללי	1	שופרסל: כמון במשקל
7290001970089	כורכום במשקל	כורכום במשקל	trusted	כללי	1	שופרסל: כורכום במשקל
7290001970096	תער.גריל עוף פרגית במשקל	תער.גריל עוף פרגית במשקל	trusted	כללי	1	שופרסל: תער.גריל עוף פרגית במשקל
7290001970102	תערובת דג מבושל במשקל	תערובת דג מבושל במשקל	trusted	כללי	1	שופרסל: תערובת דג מבושל במשקל
7290001970119	תערובת פילדלפיה במשקל	תערובת פילדלפיה במשקל	trusted	כללי	1	שופרסל: תערובת פילדלפיה במשקל
7290001970126	תערובת טוקסנה במשקל	תערובת טוקסנה במשקל	trusted	כללי	1	שופרסל: תערובת טוקסנה במשקל
7290001970133	פפריקה חריפה במשקל	פפריקה חריפה במשקל	trusted	כללי	1	שופרסל: פפריקה חריפה במשקל
7290001970140	תערובת בהרט לקובה במשקל	תערובת בהרט לקובה במשקל	trusted	כללי	1	שופרסל: תערובת בהרט לקובה במשקל
7290001970157	תער.לקציצות ראס אל חנות	תער.לקציצות ראס אל חנות	trusted	כללי	1	שופרסל: תער.לקציצות ראס אל חנות
7290001970164	פלפל שטה גרוס חריף במשקל	פלפל שטה גרוס חריף במשקל	trusted	כללי	1	שופרסל: פלפל שטה גרוס חריף במשקל
7290001970171	פלפל מתוק גרוס במשקל	פלפל מתוק גרוס במשקל	trusted	כללי	1	שופרסל: פלפל מתוק גרוס במשקל
7290001970188	פפריקה מרוק. בשמן במשקל	פפריקה מרוק. בשמן במשקל	trusted	כללי	1	שופרסל: פפריקה מרוק. בשמן במשקל
7290001970195	קינמון במשקל	קינמון במשקל	trusted	כללי	1	שופרסל: קינמון במשקל
7290001970201	חוויג למרק במשקל	חוויג למרק במשקל	trusted	כללי	1	שופרסל: חוויג למרק במשקל
7290001970218	תער.תבלינ.על האש/שווארמה	תער.תבלינ.על האש/שווארמה	trusted	כללי	1	שופרסל: תער.תבלינ.על האש/שווארמה
7290001970225	זעתר במשקל	זעתר במשקל	trusted	כללי	1	שופרסל: זעתר במשקל
7290001970249	פרלינים עטופים במשקל	פרלינים עטופים במשקל	trusted	כללי	1	שופרסל: פרלינים עטופים במשקל
7290001970256	כפתורי שוקולד לבן מזרה מ	כפתורי שוקולד לבן מזרה מ	trusted	כללי	1	שופרסל: כפתורי שוקולד לבן מזרה מ
7290001970270	לבבות שוקולד מוזהב במשקל	לבבות שוקולד מוזהב במשקל	trusted	כללי	1	שופרסל: לבבות שוקולד מוזהב במשקל
7290001970287	קליפות הדר בשוקולד במשקל	קליפות הדר בשוקולד במשקל	trusted	כללי	1	שופרסל: קליפות הדר בשוקולד במשקל
7290001970324	זית סורי במשקל	זית סורי במשקל	trusted	כללי	1	שופרסל: זית סורי במשקל
7290001970331	זית ירוק ענק במשקל	זית ירוק ענק במשקל	trusted	כללי	1	שופרסל: זית ירוק ענק במשקל
7290001970348	זית מרוקאי שחור במשקל	זית מרוקאי שחור במשקל	trusted	כללי	1	שופרסל: זית מרוקאי שחור במשקל
7290001970379	קוקטייל זיתים קטן במשקל	קוקטייל זיתים קטן במשקל	trusted	כללי	1	שופרסל: קוקטייל זיתים קטן במשקל
7290001970409	סוכר.גומי ביצת עין במשקל	סוכר.גומי ביצת עין במשקל	trusted	כללי	1	שופרסל: סוכר.גומי ביצת עין במשקל
7290001970416	זית חרוזית ענק במשקל	זית חרוזית ענק במשקל	trusted	כללי	1	שופרסל: זית חרוזית ענק במשקל
7290001970430	מש שקיל	מש שקיל	trusted	כללי	1	שופרסל: מש שקיל
7290001970522	קוואקר דק שקיל	קוואקר דק שקיל	trusted	כללי	1	שופרסל: קוואקר דק שקיל
7290001970553	חומוס גדול שקיל	חומוס גדול שקיל	trusted	כללי	1	שופרסל: חומוס גדול שקיל
7290001970560	קוסקוס טעמי השוק שקיל	קוסקוס טעמי השוק שקיל	trusted	כללי	1	שופרסל: קוסקוס טעמי השוק שקיל
7290001970584	חומוס קטן שקיל	חומוס קטן שקיל	trusted	כללי	1	שופרסל: חומוס קטן שקיל
7290001970591	שעועית שקיל	שעועית שקיל	trusted	כללי	1	שופרסל: שעועית שקיל
7290001970652	כוסמת שקיל	כוסמת שקיל	trusted	כללי	1	שופרסל: כוסמת שקיל
7290001970669	שעועית אדומה שקיל	שעועית אדומה שקיל	trusted	כללי	1	שופרסל: שעועית אדומה שקיל
7290001970676	אפונה שקיל	אפונה שקיל	trusted	כללי	1	שופרסל: אפונה שקיל
7290001970683	עדשים ירוקים שקיל	עדשים ירוקים שקיל	trusted	כללי	1	שופרסל: עדשים ירוקים שקיל
7290001970690	עדשים אדומים	עדשים אדומים	trusted	כללי	1	שופרסל: עדשים אדומים
7290001970751	זרעי פישתן שקיל	זרעי פישתן שקיל	trusted	כללי	1	שופרסל: זרעי פישתן שקיל
7290001970782	קוקוס שקיל	קוקוס שקיל	trusted	כללי	1	שופרסל: קוקוס שקיל
7290001970799	עדשים שחורים שקיל	עדשים שחורים שקיל	trusted	כללי	1	שופרסל: עדשים שחורים שקיל
7290001970805	פול גדול שקיל	פול גדול שקיל	trusted	כללי	1	שופרסל: פול גדול שקיל
7290001970850	פלפל שטה יבש שקיל	פלפל שטה יבש שקיל	trusted	כללי	1	שופרסל: פלפל שטה יבש שקיל
7290001970874	קליפות הדר בציפוי שוקולד	קליפות הדר בציפוי שוקולד	trusted	כללי	1	שופרסל: קליפות הדר בציפוי שוקולד
7290001970898	מטבעות שוקולד מריר שקיל	מטבעות שוקולד מריר שקיל	trusted	כללי	1	שופרסל: מטבעות שוקולד מריר שקיל
7290001970928	פרג שקיל	פרג שקיל	trusted	כללי	1	שופרסל: פרג שקיל
7290001970942	זרעי ציה שקיל	זרעי ציה שקיל	trusted	כללי	1	שופרסל: זרעי ציה שקיל
7290001970959	שומשום לבן שקיל	שומשום לבן שקיל	trusted	כללי	1	שופרסל: שומשום לבן שקיל
7290001970966	שומשום מלא שקיל	שומשום מלא שקיל	trusted	כללי	1	שופרסל: שומשום מלא שקיל
7290001970973	מלח לימון שקיל	מלח לימון שקיל	trusted	כללי	1	שופרסל: מלח לימון שקיל
7290001970997	קינואה אדומה שקיל	קינואה אדומה שקיל	trusted	כללי	1	שופרסל: קינואה אדומה שקיל
7290001973486	קמיל בלו סנסיטיב מגבונים בדלי 320 יחידות	קמיל בלו סנסיטיב מגבונים בדלי 320 יחידות	trusted	מדי פישר	1	סופר פארם ישראל: קמיל בלו סנסיטיב מגבונים בדלי 320 יחידות
7290001975435	אשקולית  אדומה.	אשקולית  אדומה.	trusted		1	CITY_MARKET_SHOPS: אשקולית  אדומה.
72900019790167	משקה חלב לקפה 3% שומן	משקה חלב לקפה 3% שומן	trusted	"מחלבות רמת הגולן בע""מ"	1	HET_COHEN_NEW_SOURCE: משקה חלב לקפה 3% שומן
7290001979174	זיתים תפזורת במשקל	זיתים תפזורת במשקל	trusted	כללי	1	שופרסל: זיתים תפזורת במשקל
7290001979198	תבלינים במשקל	תבלינים במשקל	trusted	כללי	1	שופרסל: תבלינים במשקל
7290001979211	משוקלדים/פרלינים משקל	משוקלדים/פרלינים משקל	trusted	כללי	1	שופרסל: משוקלדים/פרלינים משקל
7290001979549	תפזורת - ללא מותג	תפזורת - ללא מותג	trusted	"דין שיווק וקלייה בע""מ"	1	מ. יוחננוף ובניו: תפזורת - ללא מותג
7290001979556	תפזורת - ללא מותג	תפזורת - ללא מותג	trusted	"דין שיווק וקלייה בע""מ"	1	מ. יוחננוף ובניו: תפזורת - ללא מותג
7290001979594	תפזורת - ללא מותג	תפזורת - ללא מותג	trusted	"דין שיווק וקלייה בע""מ"	1	מ. יוחננוף ובניו: תפזורת - ללא מותג
7290001979600	תפזורת - ללא מותג	תפזורת - ללא מותג	trusted	"דין שיווק וקלייה בע""מ"	1	מ. יוחננוף ובניו: תפזורת - ללא מותג
7290001979648	קוואקר עבה שקיל	קוואקר עבה שקיל	trusted	כללי	1	שופרסל: קוואקר עבה שקיל
7290001979716	לוביה שקיל	לוביה שקיל	trusted	כללי	1	שופרסל: לוביה שקיל
7290001979723	פירורי לחם	פירורי לחם	trusted	כללי	1	שופרסל: פירורי לחם
7290001979730	חיטה שקיל	חיטה שקיל	trusted	כללי	1	שופרסל: חיטה שקיל
7290001979747	גריסים שקיל	גריסים שקיל	trusted	כללי	1	שופרסל: גריסים שקיל
7290001979754	בורגול עבה	בורגול עבה	trusted	כללי	1	שופרסל: בורגול עבה
7290001979761	קינואה שקיל	קינואה שקיל	trusted	כללי	1	שופרסל: קינואה שקיל
7290001979792	חלבה ממולאת פרווה	חלבה ממולאת פרווה	trusted	לא ידוע	1	מ. יוחננוף ובניו: חלבה ממולאת פרווה
7290001979921	זרעי ציה במשקל	זרעי ציה במשקל	trusted	לא ידוע	1	מ. יוחננוף ובניו: זרעי ציה במשקל
7290001979990	רחת לוקום במשקל	רחת לוקום במשקל	trusted	לא ידוע	1	מ. יוחננוף ובניו: רחת לוקום במשקל
7290001983669	בלנדר	בלנדר	trusted		1	CITY_MARKET_SHOPS: בלנדר
7290001985311	מגנום	מגנום	trusted		1	CITY_MARKET_SHOPS: מגנום
7290001985502	שרבט אבטיח	שרבט אבטיח	trusted		1	CITY_MARKET_SHOPS: שרבט אבטיח
7290001988121	12 ביצים L פיקוח הר מירון	12 ביצים L פיקוח הר מירון	trusted	לא ידוע	1	"אבות אברהם בע""מ: 12 ביצים L פיקוח הר מירון"
